source_id,issuer,document_type,title,period_start,period_end,document_date,published_date,financial_scope,audit_status,source_page_url,direct_url,local_path,file_size_bytes,sha256,retrieved_at,status,license_code,model_role,notes
"DMX_FS_2024_C","DMX","financial_statement","Audited consolidated financial statements FY2024","2024-01-01","2024-12-31","","2026-05-22","consolidated","audited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/93/e5/93e558113d3fa242567df336db5e4af6.pdf","data/raw/dmx/dmx_fy2024_audited_consolidated.pdf","18398516","1e37e8ba89af4c92a357093efed00fb7b5b3a88c37e8266f457158a2fdd2dd03","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","historical_actuals","Published as an IPO support document; use the consolidated version as the canonical FY2024 DMX source."
"DMX_FS_2024_S","DMX","financial_statement","Audited separate financial statements FY2024","2024-01-01","2024-12-31","","2026-05-22","separate","audited","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/5005777/8d/73/8d73e19f4b6631918d6f45d6bd606a45.pdf","data/raw/dmx/dmx_fy2024_audited_separate.pdf","12026745","06683e2640c3bc369c3f0adeec9b0a7a309903754ae6c39f6cf390423da1323e","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","legal_entity_reconciliation","Do not substitute this parent-only statement for consolidated operating results."
"DMX_FS_2025_C","DMX","financial_statement","Audited consolidated financial statements FY2025","2025-01-01","2025-12-31","","2026-05-22","consolidated","audited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/08/af/08af79013e9b9bdb210eb476e2fa7b95.pdf","data/raw/dmx/dmx_fy2025_audited_consolidated.pdf","20364614","ba4e4adf9d17842724c74d9fd8a26ad11eeab5831a3241d98e49dae19ba977aa","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","historical_actuals","Reported FY2025 perimeter is not automatically comparable with the post-restructuring perimeter; see docs/data_scope.md."
"DMX_FS_2025_S","DMX","financial_statement","Audited separate financial statements FY2025","2025-01-01","2025-12-31","","2026-05-22","separate","audited","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/b1/42/b14248010f5fd9d93ed4cee69e4abf6e.pdf","data/raw/dmx/dmx_fy2025_audited_separate.pdf","12463025","aed9361d0dc8ded8e7efddb360d7b4e16383df58c7d143cfaca4a761a2976be9","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","legal_entity_reconciliation","Parent-only statement."
"DMX_FS_2026Q1_C","DMX","financial_statement","Consolidated financial statements Q1 2026","2026-01-01","2026-03-31","","2026-05-22","consolidated","unaudited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/4c/a6/4ca68b110ac2a2b3cf125bd9a83d8648.pdf","data/raw/dmx/dmx_q1_2026_consolidated.pdf","6474813","96f1d486a8d8229d2b93a0b57fd5d156f4bf9a0c68e40f0d16be07c1a38fde11","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","latest_financial_actuals","Canonical Q1 consolidated source."
"DMX_FS_2026Q1_C_ALT","DMX","financial_statement","Consolidated financial statements Q1 2026 - IPO appendix copy","2026-01-01","2026-03-31","","2026-05-22","consolidated","unaudited","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/61/a9/61a969bb3dd46ac7b68985973ff17278.pdf","data/raw/dmx/dmx_q1_2026_consolidated_ipo_appendix.pdf","6198112","272a3eb203cf9bba5b8fe72574ea292315360dcaccc8dc15059c3290754131c1","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","cross_check_only","Alternate official attachment with a different binary hash; do not ingest twice."
"DMX_FS_2026Q1_S","DMX","financial_statement","Separate financial statements Q1 2026","2026-01-01","2026-03-31","","2026-05-22","separate","unaudited","https://www.dmx.vn/eng","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/0/75/4b/754b6cbe18174d2b93638f3906ac9049.pdf","data/raw/dmx/dmx_q1_2026_separate.pdf","5461586","614a9f49986de35a1b57642a6d634e2533c9d48ceebf613f1aab755c6bcf760e","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","legal_entity_reconciliation","Parent-only quarterly statement."
"DMX_DATA_2026Q1","DMX","data_pack","Official Excel data pack Q1 2026","2026-01-01","2026-03-31","","","consolidated_data_pack","unaudited","https://www.dmx.vn/eng","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/0/6b/e5/6be50a510e272451464dae07771401ca.xlsx","data/raw/dmx/dmx_q1_2026_data_pack.xlsx","181654","04740bac2d95d61ca9449c7f536083856ae3dad4e78581eba8382c256c3e79f5","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","machine_readable_actuals","Contains official statement tables and management-data worksheets; validate every imported number against the signed PDF."
"DMX_PRESENTATION_2026Q1","DMX","investor_presentation","Q1 2026 analyst meeting presentation","2026-01-01","2026-03-31","2026-04-01","2026-04-20","management_presentation","unaudited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/0/14/08/14086bfefcd1c1e015cf96645bd1a41a.pdf","data/raw/dmx/dmx_q1_2026_analyst_presentation.pdf","528699","dd2ea885957bd7570c155ad6926bd527cfeeab96d7b5aa0949b20e20f80f8aa7","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","operating_drivers","Management material; not audited and not an offer."
"DMX_RESULTS_2026H1","DMX","business_results","Business results 6M 2026","2026-01-01","2026-06-30","","","management_presentation","unaudited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/7/5006021/b5/ee/b5ee17c283b469b12b3b435d00da8aa4.pdf","data/raw/dmx/dmx_business_results_6m_2026.pdf","269453","2ecfac9ff4e116a96475c6f9d8db46877ca80e70ba57832d8f2a5b8e1f1d2197","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","latest_operating_kpis","Not a financial statement. DMX pages displayed inconsistent issue labels during verification; no publication date is asserted here."
